ccaa_iso;fecha;Año;Mes;Trimestre;num_casos;Periodo;fecha_int;Estacion;Curso Lectivo
AN;7/2/2021;2021;2;T1;1664;202101;7022021;Invierno;1
AN;8/2/2021;2021;2;T1;2333;202101;8022021;Invierno;1
AN;9/2/2021;2021;2;T1;2443;202101;9022021;Invierno;1
AN;10/2/2021;2021;2;T1;2274;202101;10022021;Invierno;1
AN;11/2/2021;2021;2;T1;1964;202101;11022021;Invierno;1
AN;12/2/2021;2021;2;T1;1948;202101;12022021;Invierno;1
AN;13/2/2021;2021;2;T1;1322;202101;13022021;Invierno;1
AN;14/2/2021;2021;2;T1;1029;202101;14022021;Invierno;1
AN;15/2/2021;2021;2;T1;1360;202101;15022021;Invierno;1
AN;16/2/2021;2021;2;T1;1483;202101;16022021;Invierno;1
AN;17/2/2021;2021;2;T1;1244;202101;17022021;Invierno;1
AN;18/2/2021;2021;2;T1;1106;202101;18022021;Invierno;1
AN;19/2/2021;2021;2;T1;1082;202101;19022021;Invierno;1
AN;20/2/2021;2021;2;T1;881;202101;20022021;Invierno;1
AN;21/2/2021;2021;2;T1;577;202101;21022021;Invierno;1
AN;22/2/2021;2021;2;T1;968;202101;22022021;Invierno;1
AN;23/2/2021;2021;2;T1;1040;202101;23022021;Invierno;1
AN;24/2/2021;2021;2;T1;902;202101;24022021;Invierno;1
AN;25/2/2021;2021;2;T1;804;202101;25022021;Invierno;1
AN;26/2/2021;2021;2;T1;908;202101;26022021;Invierno;1
AN;27/2/2021;2021;2;T1;699;202101;27022021;Invierno;1
AN;28/2/2021;2021;2;T1;602;202101;28022021;Invierno;1
AN;1/3/2021;2021;3;T1;749;202101;1032021;Invierno;1
AN;2/3/2021;2021;3;T1;824;202101;2032021;Invierno;1
AN;3/3/2021;2021;3;T1;982;202101;3032021;Invierno;1
AN;4/3/2021;2021;3;T1;924;202101;4032021;Invierno;1
AN;5/3/2021;2021;3;T1;861;202101;5032021;Invierno;1
AN;6/3/2021;2021;3;T1;685;202101;6032021;Invierno;1
AN;7/3/2021;2021;3;T1;556;202101;7032021;Invierno;1
AN;8/3/2021;2021;3;T1;864;202101;8032021;Invierno;1
AN;9/3/2021;2021;3;T1;882;202101;9032021;Invierno;1
AN;10/3/2021;2021;3;T1;818;202101;10032021;Invierno;1
AN;11/3/2021;2021;3;T1;752;202101;11032021;Invierno;1
AN;12/3/2021;2021;3;T1;891;202101;12032021;Invierno;1
AN;13/3/2021;2021;3;T1;664;202101;13032021;Invierno;1
AN;14/3/2021;2021;3;T1;556;202101;14032021;Invierno;1
AN;15/3/2021;2021;3;T1;879;202101;15032021;Invierno;1
AN;16/3/2021;2021;3;T1;831;202101;16032021;Invierno;1
AN;17/3/2021;2021;3;T1;870;202101;17032021;Invierno;1
AN;18/3/2021;2021;3;T1;927;202101;18032021;Invierno;1
AN;19/3/2021;2021;3;T1;968;202101;19032021;Invierno;1
AN;20/3/2021;2021;3;T1;713;202101;20032021;Primavera;1
AN;21/3/2021;2021;3;T1;623;202101;21032021;Primavera;1
AN;22/3/2021;2021;3;T1;1083;202101;22032021;Primavera;1
AN;23/3/2021;2021;3;T1;1163;202101;23032021;Primavera;1
AN;24/3/2021;2021;3;T1;1069;202101;24032021;Primavera;1
AN;25/3/2021;2021;3;T1;1141;202101;25032021;Primavera;1
AN;26/3/2021;2021;3;T1;1235;202101;26032021;Primavera;1
AN;27/3/2021;2021;3;T1;926;202101;27032021;Primavera;1
AN;28/3/2021;2021;3;T1;782;202101;28032021;Primavera;1
AN;29/3/2021;2021;3;T1;1310;202101;29032021;Primavera;1
AN;30/3/2021;2021;3;T1;1337;202101;30032021;Primavera;1
AN;31/3/2021;2021;3;T1;1445;202101;31032021;Primavera;1
AN;1/4/2021;2021;4;T2;1404;202102;1042021;Primavera;1
AN;2/4/2021;2021;4;T2;1124;202102;2042021;Primavera;1
AN;3/4/2021;2021;4;T2;1312;202102;3042021;Primavera;1
AN;4/4/2021;2021;4;T2;1244;202102;4042021;Primavera;1
AN;5/4/2021;2021;4;T2;2037;202102;5042021;Primavera;1
AN;6/4/2021;2021;4;T2;2075;202102;6042021;Primavera;1
AN;7/4/2021;2021;4;T2;1940;202102;7042021;Primavera;1
AN;8/4/2021;2021;4;T2;1850;202102;8042021;Primavera;1
AN;9/4/2021;2021;4;T2;1909;202102;9042021;Primavera;1
AN;10/4/2021;2021;4;T2;1602;202102;10042021;Primavera;1
AN;11/4/2021;2021;4;T2;1054;202102;11042021;Primavera;1
AN;12/4/2021;2021;4;T2;1815;202102;12042021;Primavera;1
AN;13/4/2021;2021;4;T2;1811;202102;13042021;Primavera;1
AN;14/4/2021;2021;4;T2;1817;202102;14042021;Primavera;1
AN;15/4/2021;2021;4;T2;1731;202102;15042021;Primavera;1
AN;16/4/2021;2021;4;T2;1693;202102;16042021;Primavera;1
AN;17/4/2021;2021;4;T2;1286;202102;17042021;Primavera;1
AN;18/4/2021;2021;4;T2;1087;202102;18042021;Primavera;1
AN;19/4/2021;2021;4;T2;1536;202102;19042021;Primavera;1
AN;20/4/2021;2021;4;T2;1684;202102;20042021;Primavera;1
AN;21/4/2021;2021;4;T2;1604;202102;21042021;Primavera;1
AN;22/4/2021;2021;4;T2;1497;202102;22042021;Primavera;1
